Statistical profiling result from ccl-v8.log, (5206 ticks, 16 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  T __ZN2v88internal16DeclarationScopeC2EPNS0_4ZoneENS0_9ScopeTypeENS0_6HandleINS0_9ScopeInfoEEE
      1    0.0%    0.0%  T __ZN2v88internal16DeclarationScope25HoistSloppyBlockFunctionsEPNS0_14AstNodeFactoryE
      1    0.0%    0.0%  T __ZN2v88internal16CompilationCache12LookupRegExpENS0_6HandleINS0_6StringEEENS_4base5FlagsINS0_8JSRegExp4FlagEiEE
      1    0.0%    0.0%  T __ZN2v88internal16CompareOperation22IsLiteralCompareTypeofEPPNS0_10ExpressionEPPNS0_7LiteralE
      1    0.0%    0.0%  T __ZN2v88internal16Builtin_ArrayPopEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v87Isolate31SuppressMicrotaskExecutionScopeD1Ev
      1    0.0%    0.0%  T __ZN2v87Isolate17GetCurrentContextEv
      1    0.0%    0.0%  T __ZN2v87Integer3NewEPNS_7IsolateEi
      1    0.0%    0.0%  T __ZN2v87Context29GetNumberOfEmbedderDataFieldsEv
      1    0.0%    0.0%  T __ZN2v86Object3NewEPNS_7IsolateE
      1    0.0%    0.0%  T __ZN2v86Object3GetENS_5LocalINS_7ContextEEEj
      1    0.0%    0.0%  T __ZN2v86Object3GetENS_5LocalINS_7ContextEEENS1_INS_5ValueEEE
      1    0.0%    0.0%  T __ZN2v820EscapableHandleScopeC2EPNS_7IsolateE

 [Summary]:
   ticks  total  nonlib   name
    276    5.3%    5.5%  JavaScript
   4726   90.8%   94.2%  C++
    316    6.1%    6.3%  GC
    188    3.6%          Shared libraries
     16    0.3%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
   2531   59.7%   48.6%  t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
   1516   35.8%   29.1%  T __ZN2v88internal21Builtin_HandleApiCallEiPmPNS0_7IsolateE
     49    1.2%    0.9%  T __ZN2v88internal21Builtin_JsonStringifyEiPmPNS0_7IsolateE
     27    0.6%    0.5%  T __ZN2v88internal19Builtin_ArrayConcatEiPmPNS0_7IsolateE
     25    0.6%    0.5%  T _fcntl
     16    0.4%    0.3%  T __ZN2v88internal17Builtin_JsonParseEiPmPNS0_7IsolateE
      9    0.2%    0.2%  T __ZN2v88internal20Builtin_ArrayUnshiftEiPmPNS0_7IsolateE
      8    0.2%    0.2%  T __ZN2v88internal27Builtin_FunctionConstructorEiPmPNS0_7IsolateE
      7    0.2%    0.1%  T __ZN2v88internal28Builtin_ObjectDefinePropertyEiPmPNS0_7IsolateE
      7    0.2%    0.1%  T __ZN2v88internal16Builtin_ArrayPopEiPmPNS0_7IsolateE
      5    0.1%    0.1%  T __ZN2v88internal23Builtin_DateConstructorEiPmPNS0_7IsolateE
      5    0.1%    0.1%  T __ZN2v88internal18Builtin_ObjectSealEiPmPNS0_7IsolateE
      5    0.1%    0.1%  T __ZN2v88internal15Builtin_DateNowEiPmPNS0_7IsolateE
      3    0.1%    0.1%  T _mach_vm_copy
      2    0.0%    0.0%  T __ZN2v88internal9Accessors20FunctionLengthGetterENS_5LocalINS_4NameEEERKNS_20PropertyCallbackInfoINS_5ValueEEE
      2    0.0%    0.0%  T __ZN2v88internal34Builtin_StringPrototypeLastIndexOfEiPmPNS0_7IsolateE
      2    0.0%    0.0%  T __ZN2v88internal33Builtin_TypedArrayPrototypeBufferEiPmPNS0_7IsolateE
      2    0.0%    0.0%  T __ZN2v88internal32Builtin_GlobalDecodeURIComponentEiPmPNS0_7IsolateE
      2    0.0%    0.0%  T __ZN2v88internal30Builtin_ArrayBufferConstructorEiPmPNS0_7IsolateE
      2    0.0%    0.0%  T __ZN2v88internal18Builtin_ArrayShiftEiPmPNS0_7IsolateE
      1    0.0%    0.0%  t __ZN4node2fs10GetReqWrapERKN2v820FunctionCallbackInfoINS1_5ValueEEEib
      1    0.0%    0.0%  T __ZNK2v86String9WriteUtf8EPNS_7IsolateEPciPii
      1    0.0%    0.0%  T __ZN4node6Buffer11HasInstanceEN2v85LocalINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node14options_parser10GetOptionsERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN2v88internal9Accessors16ErrorStackGetterENS_5LocalINS_4NameEEERKNS_20PropertyCallbackInfoINS_5ValueEEE
      1    0.0%    0.0%  T __ZN2v88internal36Builtin_CallSitePrototypeGetFileNameEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88internal30Builtin_ObjectDefinePropertiesEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88internal30Builtin_ErrorCaptureStackTraceEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88internal29Builtin_ReflectDefinePropertyEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88internal29Builtin_FunctionPrototypeBindEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88internal24Builtin_ErrorConstructorEiPmPNS0_7IsolateE

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   2667   51.2%  t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
    855   32.1%    t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
     63    7.4%      t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      4    6.3%        LazyCompile: ~readPackage internal/modules/cjs/loader.js:240:21
      4  100.0%          LazyCompile: ~readPackageScope internal/modules/cjs/loader.js:271:26
      4  100.0%            LazyCompile: ~trySelf internal/modules/cjs/loader.js:391:17
      3    4.8%        LazyCompile: ~parse /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/minimatch/minimatch.js:271:16
      3  100.0%          t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      3  100.0%            LazyCompile: ~<anonymous> /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/minimatch/minimatch.js:181:26
      3    4.8%        LazyCompile: ~next /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
      3  100.0%          LazyCompile: ~lex /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:525:30
      3  100.0%            LazyCompile: ~lex /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:295:25
      3    4.8%        LazyCompile: ~formatPrimitive internal/util/inspect.js:1393:25
      3  100.0%          LazyCompile: ~formatValue internal/util/inspect.js:738:21
      2   66.7%            LazyCompile: ~formatProperty internal/util/inspect.js:1682:24
      1   33.3%            LazyCompile: *formatProperty internal/util/inspect.js:1682:24
      3    4.8%        LazyCompile: ~escapeExpression /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/utils.js:77:26
      3  100.0%          Eval: ~<anonymous> :1:20
      3  100.0%            LazyCompile: ~main /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/runtime.js:207:18
      3    4.8%        LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:444:28
      3  100.0%          LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:796:35
      3  100.0%            LazyCompile: ~Module._load internal/modules/cjs/loader.js:704:24
      3    4.8%        LazyCompile: *quotedString /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:118:38
      3  100.0%          LazyCompile: ~pushSource /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:881:34
      3  100.0%            LazyCompile: ~appendEscaped /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      3    4.8%        LazyCompile: *pushSource /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:881:34
      2   66.7%          LazyCompile: ~appendEscaped /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      2  100.0%            LazyCompile: *compile /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      1   33.3%          LazyCompile: ~append /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:394:26
      1  100.0%            LazyCompile: *compile /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      3    4.8%        LazyCompile: *<anonymous> :1:20
      3  100.0%          LazyCompile: ~main /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/runtime.js:207:18
      3  100.0%            LazyCompile: ~ret /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/runtime.js:188:15
      2    3.2%        LazyCompile: ~realpathSync fs.js:1650:22
      2  100.0%          LazyCompile: ~toRealPath internal/modules/cjs/loader.js:343:20
      2  100.0%            LazyCompile: ~tryFile internal/modules/cjs/loader.js:334:17
      2    3.2%        LazyCompile: ~pipe /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/send/index.js:510:43
      2  100.0%          LazyCompile: ~serveStatic /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/serve-static/index.js:72:31
      2  100.0%            LazyCompile: ~handle /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express/lib/router/layer.js:86:49
      2    3.2%        LazyCompile: ~getOwn internal/bootstrap/loaders.js:153:16
      2  100.0%          LazyCompile: ~syncExports internal/bootstrap/loaders.js:258:14
      2  100.0%            LazyCompile: ~<anonymous> internal/bootstrap/loaders.js:244:15
      2    3.2%        LazyCompile: ~expressInit /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express/lib/middleware/init.js:29:30
      2  100.0%          LazyCompile: ~handle /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express/lib/router/layer.js:86:49
      2  100.0%            LazyCompile: *next /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express/lib/router/index.js:176:16
      2    3.2%        LazyCompile: ~entitytag /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/etag/index.js:39:20
      2  100.0%          LazyCompile: ~etag /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/etag/index.js:70:15
      2  100.0%            LazyCompile: ~generateETag /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express/lib/utils.js:275:32
      1    1.6%        LazyCompile: ~toString /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/uid-safe/index.js:102:19
      1  100.0%          LazyCompile: ~uidSync /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/uid-safe/index.js:75:18
      1  100.0%            LazyCompile: ~generateSessionId /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express-session/index.js:514:27
      1    1.6%        LazyCompile: ~removeColors internal/util.js:47:22
      1  100.0%          LazyCompile: ~isBelowBreakLength internal/util/inspect.js:1743:28
      1  100.0%            LazyCompile: ~reduceToSingleString internal/util/inspect.js:1767:30
      1    1.6%        LazyCompile: ~relative path.js:1052:11
      1  100.0%          LazyCompile: ~renderView /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express-handlebars/lib/express-handlebars.js:183:19
      1  100.0%            LazyCompile: ~render /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express/lib/view.js:133:40
      1    1.6%        LazyCompile: ~populateMaps /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/mime-types/index.js:154:23
      1  100.0%          Eval: ~<anonymous> /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/mime-types/index.js:1:1
      1  100.0%            LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      1    1.6%        LazyCompile: ~pathtoRegexp /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/path-to-regexp/index.js:28:22
      1  100.0%          LazyCompile: ~Layer /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express/lib/router/layer.js:33:15
      1  100.0%            LazyCompile: ~use /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express/lib/router/index.js:428:25
      1    1.6%        LazyCompile: ~parse /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/content-type/index.js:106:16
      1  100.0%          LazyCompile: ~setCharset /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express/lib/utils.js:250:41
      1  100.0%            LazyCompile: ~send /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express/lib/response.js:107:25
      1    1.6%        LazyCompile: ~isNextWhitespace /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:165:26
      1  100.0%          LazyCompile: ~WhitespaceControl.Program /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:19:48
      1  100.0%            LazyCompile: *accept /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/visitor.js:57:26
      1    1.6%        LazyCompile: ~isIPv6 internal/net.js:34:16
      1  100.0%          LazyCompile: ~isIP internal/net.js:38:14
      1  100.0%            LazyCompile: ~lookupAndConnect net.js:982:26
      1    1.6%        LazyCompile: ~header /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express/lib/response.js:754:29
      1  100.0%          LazyCompile: ~send /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express/lib/response.js:107:25
      1  100.0%            LazyCompile: *renderView /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express-handlebars/lib/express-handlebars.js:183:19
      1    1.6%        LazyCompile: ~clone /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/graceful-fs/clone.js:9:16
      1  100.0%          Eval: ~<anonymous> /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/graceful-fs/graceful-fs.js:1:1
      1  100.0%            LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      1    1.6%        LazyCompile: ~Schema.path /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/mongoose/lib/schema.js:618:33
      1  100.0%          LazyCompile: ~Document.$__setSchema /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/mongoose/lib/document.js:3043:43
      1  100.0%            LazyCompile: ~compile /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/mongoose/lib/model.js:4701:33
      1    1.6%        LazyCompile: ~Module._nodeModulePaths internal/modules/cjs/loader.js:575:37
      1  100.0%          LazyCompile: ~Module.load internal/modules/cjs/loader.js:916:33
      1  100.0%            LazyCompile: ~Module._load internal/modules/cjs/loader.js:704:24
      1    1.6%        LazyCompile: ~Mime.lookup /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/mime/mime.js:69:33
      1  100.0%          Eval: ~<anonymous> /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/mime/mime.js:1:1
      1  100.0%            LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      1    1.6%        LazyCompile: ~Kareem.filter /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/kareem/index.js:324:35
      1  100.0%          LazyCompile: ~applyHooks /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/mongoose/lib/helpers/model/applyHooks.js:32:20
      1  100.0%            LazyCompile: ~compile /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/mongoose/lib/model.js:4701:33
      1    1.6%        LazyCompile: ~<anonymous> internal/fs/utils.js:320:35
      1  100.0%          LazyCompile: *hidden internal/errors.js:286:25
      1  100.0%            LazyCompile: ~<anonymous> internal/fs/utils.js:618:38
      1    1.6%        LazyCompile: ~<anonymous> /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/minimatch/minimatch.js:181:26
      1  100.0%          t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1  100.0%            LazyCompile: ~make /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/minimatch/minimatch.js:142:15
      1    1.6%        LazyCompile: *parse /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/minimatch/minimatch.js:271:16
      1  100.0%          t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      1  100.0%            LazyCompile: ~<anonymous> /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/minimatch/minimatch.js:181:26
      1    1.6%        LazyCompile: *next /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
      1  100.0%          LazyCompile: *parse /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
      1  100.0%            LazyCompile: ~parseWithoutProcessing /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/base.js:33:32
      1    1.6%        LazyCompile: *next /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express/lib/router/index.js:176:16
      1  100.0%          LazyCompile: ~strategy.pass /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/passport/lib/middleware/authenticate.js:342:31
      1  100.0%            LazyCompile: ~SessionStrategy.authenticate /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/passport/lib/strategies/session.js:44:50
      1    1.6%        LazyCompile: *appendEscaped /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      1  100.0%          LazyCompile: *compile /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      1  100.0%            LazyCompile: *render /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      1    1.6%        LazyCompile: *<anonymous> internal/per_context/primordials.js:23:10
      1  100.0%          LazyCompile: ~readPackageScope internal/modules/cjs/loader.js:271:26
      1  100.0%            LazyCompile: ~trySelf internal/modules/cjs/loader.js:391:17
      1    1.6%        Eval: ~<anonymous> /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/iconv-lite/lib/index.js:1:1
      1  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      1  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1072:37
      1    1.6%        Eval: ~<anonymous> /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express/lib/application.js:1:1
      1  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1017:37
      1  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1072:37
     33    3.9%      LazyCompile: *SourceNode_walk /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/source-map/lib/source-node.js:221:53
     29   87.9%        LazyCompile: *SourceNode_walk /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/source-map/lib/source-node.js:221:53
     29  100.0%          LazyCompile: *SourceNode_walk /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/source-map/lib/source-node.js:221:53
     26   89.7%            LazyCompile: *SourceNode_walk /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/source-map/lib/source-node.js:221:53
      3   10.3%            LazyCompile: ~SourceNode_toString /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/source-map/lib/source-node.js:318:61
      4   12.1%        LazyCompile: ~SourceNode_toString /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/source-map/lib/source-node.js:318:61
      4  100.0%          t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
      4  100.0%            LazyCompile: *compile /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
     27    3.2%      LazyCompile: *wrap /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
      8   29.6%        LazyCompile: *generateList /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
      4   50.0%          LazyCompile: ~objectLiteral /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:123:40
      4  100.0%            LazyCompile: ~objectLiteral /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1002:40
      4   50.0%          LazyCompile: *setupHelperArgs /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1104:44
      4  100.0%            LazyCompile: *invokeAmbiguous /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:699:44
      7   25.9%        LazyCompile: *invokeAmbiguous /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:699:44
      4   57.1%          LazyCompile: *compile /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      2   50.0%            LazyCompile: ~compileInput /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:507:24
      2   50.0%            LazyCompile: *render /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      3   42.9%          LazyCompile: ~compile /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      3  100.0%            LazyCompile: ~compileInput /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:507:24
      4   14.8%        LazyCompile: *castChunk /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
      4  100.0%          LazyCompile: *wrap /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
      2   50.0%            LazyCompile: *invokeAmbiguous /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:699:44
      1   25.0%            LazyCompile: ~push /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:868:22
      1   25.0%            LazyCompile: *resolvePath /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:492:36
      3   11.1%        LazyCompile: *resolvePath /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:492:36
      3  100.0%          LazyCompile: ~lookupOnContext /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:448:44
      3  100.0%            LazyCompile: *compile /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      1    3.7%        LazyCompile: ~push /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:868:22
      1  100.0%          LazyCompile: ~replaceStack /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:892:38
      1  100.0%            LazyCompile: ~resolvePath /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:492:36
      1    3.7%        LazyCompile: ~aliasable /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1006:32
      1  100.0%          LazyCompile: ~invokeAmbiguous /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:699:44
      1  100.0%            LazyCompile: *compile /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      1    3.7%        LazyCompile: *push /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:868:22
      1  100.0%          LazyCompile: ~invokeAmbiguous /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:699:44
      1  100.0%            LazyCompile: *compile /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      1    3.7%        LazyCompile: *appendToBuffer /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:42:42
      1  100.0%          LazyCompile: ~appendEscaped /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      1  100.0%            LazyCompile: *compile /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      1    3.7%        LazyCompile: *appendEscaped /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      1  100.0%          LazyCompile: *compile /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      1  100.0%            LazyCompile: *render /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/express-handlebars/lib/express-handlebars.js:150:15
     27    3.2%      LazyCompile: *compile /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
     14   51.9%        LazyCompile: ~compileInput /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:507:24
     14  100.0%          LazyCompile: ~ret /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:515:15
